epoch,train_loss,val_loss,val_iou
1,0.5342,3.0135,0.0423
2,0.3318,0.4021,0.7064
3,0.2283,0.6876,0.6380
4,0.2665,0.4845,0.6471
5,0.1933,0.1308,0.7884
6,0.1679,0.1776,0.7314
7,0.1587,0.1026,0.8264
8,0.1408,0.0962,0.8404
9,0.1803,0.1453,0.7462
10,0.1525,0.1263,0.8162
11,0.1215,0.1940,0.6529
12,0.1286,0.1031,0.8136
13,0.1451,0.1196,0.7953
14,0.1254,0.0928,0.8339
15,0.1261,0.0867,0.8444
16,0.1027,0.0883,0.8431
17,0.1202,0.0667,0.8846
18,0.1247,0.0962,0.8421
19,0.1225,0.0898,0.8393
20,0.1261,0.0683,0.8721
21,0.1017,0.0644,0.8748
22,0.1192,0.0722,0.8599
23,0.1019,0.0804,0.8579
24,0.1115,0.0594,0.8940
25,0.1051,0.0654,0.8756
26,0.0993,0.0621,0.8832
27,0.0904,0.0643,0.8777
28,0.1163,0.0744,0.8488
29,0.1166,0.0765,0.8382
30,0.1290,0.1201,0.7700
31,0.1097,0.1775,0.6645
32,0.0864,0.1199,0.7750
33,0.1108,0.1257,0.7451
34,0.0959,0.1440,0.6961
35,0.1180,0.1084,0.7933
36,0.1149,0.1346,0.7625
37,0.0979,0.1234,0.7709
38,0.1151,0.2057,0.6711
39,0.0934,0.1140,0.7998
40,0.1023,0.0849,0.8551
